,date,prcp
102,2016-12-04,0.03
103,2016-12-05,0.43
104,2016-12-06,0.02
105,2016-12-07,0.0
106,2016-12-08,0.03
107,2016-12-09,0.52
108,2016-12-10,0.05
109,2016-12-11,0.04
110,2016-12-12,0.01
111,2016-12-13,0.05
112,2016-12-14,0.03
113,2016-12-15,0.0
114,2016-12-16,0.0
115,2016-12-17,0.01
116,2016-12-18,0.13
117,2016-12-19,0.01
118,2016-12-20,0.0
119,2016-12-21,0.0
120,2016-12-22,0.01
121,2016-12-23,0.01
122,2016-12-24,0.01
123,2016-12-25,0.0
124,2016-12-26,0.02
125,2016-12-27,0.0
126,2016-12-28,0.02
127,2016-12-29,0.04
128,2016-12-30,0.12
129,2016-12-31,0.01
130,2017-01-01,0.0
131,2017-01-02,0.0
132,2017-01-03,0.0
133,2017-01-04,0.0
134,2017-01-05,0.0
135,2017-01-06,0.0
136,2017-01-07,0.0
137,2017-01-08,0.0
138,2017-01-09,0.0
139,2017-01-10,0.0
140,2017-01-11,0.0
141,2017-01-12,0.0
142,2017-01-13,0.0
143,2017-01-14,0.0
144,2017-01-15,0.0
145,2017-01-16,0.0
146,2017-01-17,0.0
147,2017-01-18,0.0
148,2017-01-19,0.0
149,2017-01-20,0.0
150,2017-01-21,0.0
151,2017-01-22,0.16
152,2017-01-23,0.0
153,2017-01-24,0.04
154,2017-01-25,0.03
155,2017-01-26,0.0
156,2017-01-27,0.0
157,2017-01-28,0.0
158,2017-01-29,0.18
159,2017-01-30,0.0
160,2017-01-31,0.0
161,2017-02-01,0.0
162,2017-02-02,0.0
163,2017-02-03,0.0
164,2017-02-04,0.0
165,2017-02-05,0.0
166,2017-02-06,0.0
167,2017-02-07,0.51
168,2017-02-08,0.0
169,2017-02-09,0.0
170,2017-02-10,0.0
171,2017-02-11,0.31
172,2017-02-12,2.62
173,2017-02-13,0.01
174,2017-02-14,0.0
175,2017-02-15,0.0
176,2017-02-16,0.07
177,2017-02-17,0.0
178,2017-02-18,0.0
179,2017-02-19,0.0
180,2017-02-20,0.0
181,2017-02-21,0.06
182,2017-02-22,0.06
183,2017-02-23,0.01
184,2017-02-24,0.0
185,2017-02-25,0.03
186,2017-02-26,0.0
187,2017-02-27,0.0
188,2017-02-28,0.0
189,2017-03-01,1.19
190,2017-03-02,0.73
191,2017-03-03,0.47
192,2017-03-04,0.0
193,2017-03-05,0.35
194,2017-03-06,0.0
195,2017-03-07,0.0
196,2017-03-08,0.0
197,2017-03-09,0.0
198,2017-03-10,0.0
199,2017-03-11,0.0
200,2017-03-12,0.0
201,2017-03-13,0.0
202,2017-03-14,0.0
203,2017-03-15,0.0
204,2017-03-16,0.0
205,2017-03-17,0.0
206,2017-03-18,0.0
207,2017-03-19,0.0
208,2017-03-20,0.0
209,2017-03-21,0.0
210,2017-03-22,0.0
211,2017-03-23,0.0
212,2017-03-24,0.02
213,2017-03-25,0.0
214,2017-03-26,0.0
215,2017-03-27,0.0
216,2017-03-28,0.0
217,2017-03-29,0.0
218,2017-03-30,0.0
219,2017-03-31,0.0
220,2017-04-01,0.0
221,2017-04-02,0.0
222,2017-04-03,0.0
223,2017-04-04,0.0
224,2017-04-05,0.0
225,2017-04-06,0.0
226,2017-04-07,0.0
227,2017-04-08,0.0
228,2017-04-09,0.0
229,2017-04-10,0.0
230,2017-04-11,0.0
231,2017-04-12,0.0
232,2017-04-13,0.0
233,2017-04-14,0.26
234,2017-04-15,0.01
235,2017-04-16,0.0
236,2017-04-17,0.02
237,2017-04-18,0.0
238,2017-04-19,0.02
239,2017-04-20,0.05
240,2017-04-21,0.23
241,2017-04-22,0.32
242,2017-04-23,0.03
243,2017-04-24,0.0
244,2017-04-25,0.0
245,2017-04-26,0.0
246,2017-04-27,0.0
247,2017-04-28,0.0
248,2017-04-29,0.12
249,2017-04-30,0.89
250,2017-05-01,0.26
251,2017-05-02,0.0
252,2017-05-03,0.0
253,2017-05-04,0.0
254,2017-05-05,0.0
255,2017-05-06,0.0
256,2017-05-07,0.0
257,2017-05-08,0.0
258,2017-05-09,1.62
259,2017-05-10,0.0
260,2017-05-11,0.01
261,2017-05-12,0.0
262,2017-05-13,0.0
263,2017-05-14,0.0
264,2017-05-15,0.05
265,2017-05-16,0.01
266,2017-05-17,0.0
267,2017-05-18,0.01
268,2017-05-19,0.0
269,2017-05-20,0.0
270,2017-05-21,0.0
271,2017-05-22,0.0
272,2017-05-23,0.08
273,2017-05-24,0.13
274,2017-05-25,0.15
275,2017-05-26,0.02
276,2017-05-27,0.01
277,2017-05-28,0.02
278,2017-05-29,0.0
279,2017-05-30,0.26
280,2017-05-31,0.02
281,2017-06-01,0.0
282,2017-06-02,0.0
283,2017-06-03,0.02
284,2017-06-04,0.0
285,2017-06-05,0.0
286,2017-06-06,0.0
287,2017-06-07,0.0
288,2017-06-08,0.0
289,2017-06-09,0.0
290,2017-06-10,0.04
291,2017-06-11,0.08
292,2017-06-12,0.02
293,2017-06-13,0.0
294,2017-06-14,0.0
295,2017-06-15,0.0
296,2017-06-16,0.0
297,2017-06-17,0.0
298,2017-06-18,0.05
299,2017-06-19,0.0
300,2017-06-20,0.02
301,2017-06-21,0.0
302,2017-06-22,0.0
303,2017-06-23,0.0
304,2017-06-24,0.06
305,2017-06-25,0.0
306,2017-06-26,0.0
307,2017-06-27,0.0
308,2017-06-28,0.0
309,2017-06-29,0.0
310,2017-06-30,0.08
311,2017-07-01,0.02
312,2017-07-02,0.02
313,2017-07-03,0.04
314,2017-07-04,0.04
315,2017-07-05,0.0
316,2017-07-06,0.0
317,2017-07-07,0.0
318,2017-07-08,0.0
319,2017-07-09,0.0
320,2017-07-10,0.0
321,2017-07-11,0.0
322,2017-07-12,0.0
323,2017-07-13,0.07
324,2017-07-14,0.02
325,2017-07-15,0.0
326,2017-07-16,0.02
327,2017-07-17,0.03
328,2017-07-18,0.05
329,2017-07-19,0.0
330,2017-07-20,0.03
331,2017-07-21,0.0
332,2017-07-22,0.03
333,2017-07-23,0.0
334,2017-07-24,0.05
335,2017-07-25,0.0
336,2017-07-26,0.0
337,2017-07-27,0.0
338,2017-07-28,0.0
339,2017-07-29,0.0
340,2017-07-30,0.0
341,2017-07-31,0.0
342,2017-08-01,0.02
343,2017-08-02,0.0
344,2017-08-03,0.0
345,2017-08-04,0.02
346,2017-08-05,0.0
347,2017-08-06,0.0
348,2017-08-07,0.0
349,2017-08-08,0.0
350,2017-08-09,0.0
351,2017-08-10,0.0
352,2017-08-11,0.0
353,2017-08-12,0.0
354,2017-08-13,0.0
355,2017-08-14,0.0
356,2017-08-15,0.02
357,2017-08-16,0.0
358,2017-08-17,0.0
359,2017-08-18,0.0
360,2017-08-19,0.0
361,2017-08-20,0.0
362,2017-08-21,0.0
363,2017-08-22,0.0
364,2017-08-23,0.0
